id;description;unit_price;quantity
aa84c2d0-25f0-4f68-b9cc-1bdcb5b6c8f0;Generic Frozen Tuna HTTP;26089.99;37461
e7ae124d-93d7-409e-a790-2894da70ac5d;Personal Loan Account;50313.11;50103
437db54c-bc6b-4a21-ab25-3d7a9f25ee8b;Norfolk Island Chilean Peso Unidades de fomento Checking Account;94389.1;64241
65d2307a-8b10-4ff8-963c-a1f7b2a0348d;Outdoors New York Data;57547.00;67716
aef60ce1-3a22-4c95-b252-654aa2bd2a38;North Carolina Granite;81120;54561
a799abdd-7b67-4f71-8e09-99b5c248ddfa;Web revolutionize Branding;90535.98;20668
30b41a58-6e83-4e39-aa11-0e13578d6451;analyzing;21458.01;10077
e7e4423a-4e2a-4640-acf8-ca60062d78a3;Books Generic;68300.60;33655
556ec8d5-b184-40a6-b09b-c999d889ec1b;withdrawal;38539.50;84487
c3682fbe-90c1-4e62-807a-717dcee40354;Garden open-source hybrid;11816.49;69289
